"字詞名","注音一式","釋義"
"遍體鱗傷","ㄅㄧㄢˋ　ㄊㄧˇ　ㄌㄧㄣˊ　ㄕㄤ","比喻全身都是傷痕。[例]可憐的他被打得遍體鱗傷。"
"遍及","ㄅㄧㄢˋ　ㄐㄧˊ","廣布各個角落。[例]多年的義診，使他的恩澤遍及全鄉。"
"辨","ㄅㄧㄢˋ","分別、判別。[例]分辨、明辨是非、雌雄莫辨"
"辨別","ㄅㄧㄢˋ　ㄅㄧㄝˊ","判別、分別。[例]辨別是非"
"辨明","ㄅㄧㄢˋ　ㄇㄧㄥˊ","辨別清楚。[例]先辨明事情的真偽再下定論也不遲。"
"辨析","ㄅㄧㄢˋ　ㄒㄧ","辨別分析。[例]他的辨析能力強，表達能力卻不足。"
"辨識","ㄅㄧㄢˋ　ㄕˋ","辨認識別。[例]他的字跡潦草難以辨識。"
"辨認","ㄅㄧㄢˋ　ㄖㄣˋ","分辨識別。[例]辨認失物"
"辮","ㄅㄧㄢˋ","分股編成的條狀物。[例]髮辮、草辮、繩辮"
"辮子","ㄅㄧㄢˋ　˙ㄗ","用線狀物或頭髮編成的長條。[例]她把頭髮紮成一條長辮子。"
"辯","ㄅㄧㄢˋ","1.爭論是非曲直。[例]辯護、辯駁、爭辯
2.能言善道的。[例]辯士、辯才無礙"
"辯駁","ㄅㄧㄢˋ　ㄅㄛˊ","據理辯正駁斥。[例]他在會場舌戰群雄，辯駁對手的言論。"
"辯白","ㄅㄧㄢˋ　ㄅㄞˊ","說明事實或理由。[例]既然是冤枉的，就該想辦法辯白。"
"辯論","ㄅㄧㄢˋ　ㄌㄨㄣˋ","各持不同的意見主張相互論爭。[例]他的思想敏捷，口才犀利，與人辯論，無往不利。"
"辯護","ㄅㄧㄢˋ　ㄏㄨˋ","1.法律上指辯護人為保護當事人的利益及權利，防禦不法或不當的指控，在口頭或文字上所做的辯白。[例]為了打贏這場官司，他請了一位名律師替他辯護。
2.提出理由、事實來加以袒護。[例]為了怕他被罵，我費心的替他辯護。"
"辯護人","ㄅㄧㄢˋ　ㄏㄨˋ　ㄖㄣˊ","訴訟時，為被告者在法庭上辯護的律師，或非律師但經法院許可者，稱為「辯護人」。[例]法院安排有公設辯護人，專門為請不起律師的被告進行辯護。"
"辯解","ㄅㄧㄢˋ　ㄐㄧㄝˇ","解釋事實或理由。[例]他認為清者自清，所以面對別人的指責，他從不辯解。"
"辯證","ㄅㄧㄢˋ　ㄓㄥˋ","辯析論證。[例]具備高度的辯證能力，才能成為一名出色的律師。"
"辯稱","ㄅㄧㄢˋ　ㄔㄥ","辯白聲稱。[例]他辯稱這件案子不是他幹的。"
"辯才","ㄅㄧㄢˋ　ㄘㄞˊ","善於辯論的才能。[例]他天生就伶牙俐齒，相當具有辯才。"
"辯才無礙","ㄅㄧㄢˋ　ㄘㄞˊ　ㄨˊ　ㄞˋ","指人能言善道，辭理暢達。[例]他的學識豐富，口才又好，不管遇到什麼問題都能辯才無礙。"
"變","ㄅㄧㄢˋ","1.更改、與原來有所不同。[例]改變、變化、一成不變
2.變動的、變異的。[例]變數、變態
3.突發的事件。[例]事變、兵變、變故"
"變把戲","ㄅㄧㄢˋ　ㄅㄚˇ　ㄒㄧˋ","1.表演魔術。即耍弄驚險離奇、詭異靈巧的技藝，如吞刀吐火、無中生有等，以滿足人們的好奇心和趣味感。　△變戲法
2.比喻人耍詭計。[例]我倒要看看他變把戲能變什麼花樣？"
"變本加厲","ㄅㄧㄢˋ　ㄅㄣˇ　ㄐㄧㄚ　ㄌㄧˋ","比喻改變原有的狀況且更加嚴重。語本南朝梁．蕭統〈文選序〉。[例]他不但蹺課，最近更變本加厲，偷錢逃家了。"
"變賣","ㄅㄧㄢˋ　ㄇㄞˋ","出售產業或物品。[例]為了醫治父親的病，他已把家產變賣一空了。"
"變法","ㄅㄧㄢˋ　ㄈㄚˇ","改變原有的法令規章制度。[例]秦代商鞅變法，使國富兵強。"
"變電所","ㄅㄧㄢˋ　ㄉㄧㄢˋ　ㄙㄨㄛˇ","改變電壓的場所。當電力公司從發電廠輸送電能至用戶所在地時，常因地遠而須加強電壓，變電所即負責電力公司與用戶間的電壓升降及電能分配工作。[例]為了應付用電戶不斷的增加，電力公司正在覓地增建變電所。"
"變動","ㄅㄧㄢˋ　ㄉㄨㄥˋ","移動、改變。[例]地殼變動、變動不居、價格變動"
"變態","ㄅㄧㄢˋ　ㄊㄞˋ","1.不正常的狀態。[例]心理變態
2.某些動物自受精卵發育至成體的過程中，必須經過或多或少的變化，方能與成蟲具有相同的形態，此種變化過程稱為「變態」。如多數的高等昆蟲，都需經卵、幼蟲、蛹及成蟲四個階段變態，才能完成一生。
3.某些植物生長型態和生理機能，因長期受環境影響而產生變化的情形。如仙人掌的針狀葉。"
"變體","ㄅㄧㄢˋ　ㄊㄧˇ","1.改變後的形體。[例]他的字是仿王羲之行書的變體，流暢中多見幾分魏碑的剛氣。
2.形體的改變。[例]許多電腦病毒傳到臺灣後，常常變體成新類型的病毒。"
"變天","ㄅㄧㄢˋ　ㄊㄧㄢ","1.天氣由晴轉變成陰雨。[例]看這樣子快變天了，趕緊把衣服收一收吧！
2.政局有了重大改變，有時可用來稱改朝換代。[例]在高壓統治下的人民生活痛苦，莫不渴望變天。"
"變通","ㄅㄧㄢˋ　ㄊㄨㄥ","為了順應時勢的變化，做非原則性的彈性處置。[例]在多變的環境中，處理政務要知所變通。"
"變例","ㄅㄧㄢˋ　ㄌㄧˋ","1.原則以外的例外。[例]編輯一部辭書的變例最好不要太多，否則會紊亂原有的體例。
2.演變的規則。[例]語音兒化有許多變例。"
"變臉","ㄅㄧㄢˋ　ㄌㄧㄢˇ","1.臉上的表情突然改變，表示生氣或決裂。[例]只要稍微不順心，他馬上變臉。
2.川劇表演中的獨門絕技。以抹臉、吹臉及扯臉等方法，配合舞蹈動作掩護變換面部臉譜，以表現人物內心情感變化，增加戲劇效果。"
"變革","ㄅㄧㄢˋ　ㄍㄜˊ","改變更動，常指社會、政治制度上的變動而言。[例]近年來共產國家發生重大的變革，影響了整個世界的局勢。"
"變更","ㄅㄧㄢˋ　ㄍㄥ","更改。[例]既然已經作成決議，就不要再變更了。"
"變故","ㄅㄧㄢˋ　ㄍㄨˋ","意外發生的災難、事故。[例]他自遭逢這次變故後，變得很憔悴。"
"變卦","ㄅㄧㄢˋ　ㄍㄨㄚˋ","改變原來的決定。[例]他本來決定明天出國，但臨時變卦，改為下個月。"
"變化","ㄅㄧㄢˋ　ㄏㄨㄚˋ","事物的性質或形態有所改變。[例]變化無窮、化學變化"
"變化多端","ㄅㄧㄢˋ　ㄏㄨㄚˋ　ㄉㄨㄛ　ㄉㄨㄢ","變化繁多，難以預測。[例]中國菜的作法真是變化多端，除煎、煮、烤、炸以外，還可清蒸。"
"變化球","ㄅㄧㄢˋ　ㄏㄨㄚˋ　ㄑㄧㄡˊ","1.棒球指投手將球投出後，其速度、方向會改變的球。相對於直球而言。[例]投手再投出一記變化球，將打者三振出局。
2.比喻無可預測、變化多端的舉動。[例]他行事總愛投變化球，令大家不知所措。"
"變化無常","ㄅㄧㄢˋ　ㄏㄨㄚˋ　ㄨˊ　ㄔㄤˊ","變化很多，沒有一定規則。[例]近日天氣變化無常，要小心穿衣，別著涼了。"
"變壞","ㄅㄧㄢˋ　ㄏㄨㄞˋ","情況由好轉為不好。[例]烏雲密布，天氣變壞了。"
"變幻","ㄅㄧㄢˋ　ㄏㄨㄢˋ","變化多端，不可推測。[例]變幻莫測、變幻無常"
"變換","ㄅㄧㄢˋ　ㄏㄨㄢˋ","更改、改換。[例]變換隊形、變換環境"
"變節","ㄅㄧㄢˋ　ㄐㄧㄝˊ","改變向來的志節操守。多指降敵。[例]敵前變節、變節求榮"
"變局","ㄅㄧㄢˋ　ㄐㄩˊ","動亂不安定，隨時會有變化的局勢。[例]處在這種動盪不安的變局裡，更要莊敬自強，處變不驚。"
"變遷","ㄅㄧㄢˋ　ㄑㄧㄢ","事物的變化、改移。[例]世事的變遷常令人有滄海桑田的感覺。"
"變戲法","ㄅㄧㄢˋ　ㄒㄧˋ　ㄈㄚˇ","1.表演魔術。即耍弄驚險離奇、詭異靈巧的技藝，以滿足人們的好奇心和趣味感。如吞刀吐火、空殼孵雛等。　△變把戲
2.比喻使用障眼的手法。[例]他這樣做，只是變戲法，騙人耳目罷了！"
"變心","ㄅㄧㄢˋ　ㄒㄧㄣ","改變心意。常指感情上愛戀對象的轉變。[例]情人節當晚，兩人許下甜蜜誓言，永不變心。"
"變相","ㄅㄧㄢˋ　ㄒㄧㄤˋ","本質沒變而外在形式或方法改變。[例]變相加價、變相剝削"
"變形","ㄅㄧㄢˋ　ㄒㄧㄥˊ","人的外貌或物品的形狀、格式產生變化，有異於原先的形態。[例]塑膠物品遇到高溫容易變形。"
"變質","ㄅㄧㄢˋ　ㄓˊ","事物原有的性質改變。[例]這瓶藥水已經變質，不能再使用了。"
"變成","ㄅㄧㄢˋ　ㄔㄥˊ","由某一種形態轉換成另一種形態。[例]深秋時節，楓葉變成了紅色。"
"變數","ㄅㄧㄢˋ　ㄕㄨˋ","1.變動不確定的因素。[例]這件事情成功與否，仍有許多變數。
2.代數式中，可以變易的各數。相對於常數而言。如ax＋by＋c一式中，x、y為變數。"
"變造","ㄅㄧㄢˋ　ㄗㄠˋ","變更原有物件的內容、形式，把它改造成另一種面貌。[例]警方發現歹徒所用的駕照是經過變造的。"
"變奏曲","ㄅㄧㄢˋ　ㄗㄡˋ　ㄑㄩˇ","根據某一主題為藍本，運用各種不同方法，陸續變化演奏出之樂曲，主題通過變奏後可得到多方面發揮。如貝多芬的Ｃ小調三十二次變奏曲。"
"變色","ㄅㄧㄢˋ　ㄙㄜˋ","1.物品的顏色改變。[例]這塊抹布用得都變色了。
2.因恐懼或憤怒而面色失常。[例]勃然變色
3.比喻發生極為重大的事變。[例]偉人驟逝，山河為之變色。"
"變速","ㄅㄧㄢˋ　ㄙㄨˋ","1.變換速度。[例]這輛車在行進間可自動變速。
2.可更換速度的。[例]變速腳踏車"
"變異","ㄅㄧㄢˋ　ㄧˋ","1.意外的變化。[例]事不宜遲，否則恐生變異。
2.由基因或環境造成的個體間遺傳性或非遺傳性的差異。"
"變壓器","ㄅㄧㄢˋ　ㄧㄚ　ㄑㄧˋ","利用電磁感應的原理，將高電壓變為低電壓，或將低電壓變為高電壓的電子器具。主要構件是初級線圈、次級線圈和鐵心。"
"彬","ㄅㄧㄣ","→彬彬"
"彬彬","ㄅㄧㄣ　ㄅㄧㄣ","各種不同事物配合適當的樣子。[例]文質彬彬、彬彬有禮"
"彬彬有禮","ㄅㄧㄣ　ㄅㄧㄣ　ㄧㄡˇ　ㄌㄧˇ","形容人的禮貌恰到好處，不至於矯情多禮，也不至於粗魯無禮。[例]他對人彬彬有禮，看來所受教養不錯。"
"斌","ㄅㄧㄣ","同「彬」。"
"賓","ㄅㄧㄣ","1.客人。與「主」相對。[例]賓主盡歡、喧賓奪主、賓至如歸
2.歸順、服從。[例]賓從、賓服"
"賓白","ㄅㄧㄣ　ㄅㄞˊ","賓，兩人對語。白，一人自語。賓白指戲曲中人物的內心獨白和對話。有韻白、口白兩種，韻白接近官話，有明顯的旋律和節奏變化，字音較為拖長；口白較接近各地方日常語言，但又比口語誇張。　△念白、唸白"
"賓果","ㄅㄧㄣ　ㄍㄨㄛˇ","1.一種美式遊戲。遊戲規則是從袋中取出有號碼的牌子，放在有標示號碼的盤上，以能先排成一列或特定圖形者為優勝。§英bingo [例]玩賓果遊戲時，當獲勝者大喊一聲：「賓果」時，最令人興奮！
2.比喻中獎、得彩。[例]當王刑警在草堆中尋獲凶槍時，不禁喊了一聲：「賓果」！"
"賓館","ㄅㄧㄣ　ㄍㄨㄢˇ","提供賓客住宿或休息的館舍。經營型態與旅社相似。[例]近年來，國內賓館林立，有的標榜附設有三溫暖，有的則強調電腦自助式。"
"賓客","ㄅㄧㄣ　ㄎㄜˋ","來賓、客人，泛稱客人。[例]一般習俗，結婚當天都會大宴賓客。"
"賓至如歸","ㄅㄧㄣ　ㄓˋ　ㄖㄨˊ　ㄍㄨㄟ","形容主人招待親切周到，使客人有如回到自己家裡一樣舒適的感受。語出《左傳．襄公三十一年》。[例]多謝你的盛情款待，真讓我有賓至如歸的感覺。"
"賓主","ㄅㄧㄣ　ㄓㄨˇ","賓客與主人。[例]這次餐會賓主盡歡，辦得很成功。"
"賓士","ㄅㄧㄣ　ㄕˋ","德國製的汽車品牌名，在國內被視為高級車的代表。§德benz"
"賓語","ㄅㄧㄣ　ㄩˇ","句法中承受主語的動作者，有直接和間接二種。如「他給我一本書」其中「書」為直接賓語，「我」為間接賓語。　△賓詞、謂詞"
"儐","ㄅㄧㄣ","古代稱接待賓客的人。今多用於婚禮中的男、女儐相。"
"儐相","ㄅㄧㄣ　ㄒㄧㄤˋ","婚禮中輔助新人進行儀式的人。男性稱男儐相，女性稱女儐相。[例]今天的婚禮不只新娘、新郎引人注目，就連儐相也相當出色。"
"濱","ㄅㄧㄣ","1.水邊。[例]湖濱
2.臨近、接近。[例]濱海"
"濱海","ㄅㄧㄣ　ㄏㄞˇ","靠近海邊。[例]積極保護生態豐富的濱海地區，是環保的重要課題。"
"濱海公路","ㄅㄧㄣ　ㄏㄞˇ　ㄍㄨㄥ　ㄌㄨˋ","沿海岸而築的公路。[例]北部濱海公路、西部濱海公路"
"濱江","ㄅㄧㄣ　ㄐㄧㄤ","江邊，臨近江水的地方。[例]濱江公園"
"檳","ㄅㄧㄣ","→檳榔"
"檳榔","ㄅㄧㄣ　ㄌㄤˊ","植物名。棕櫚科檳榔屬，常綠喬木。高三丈多，葉為羽狀複葉，枝幹似椰子而較細，栽種五年，才開花結果。一年一株可生三、四穗，每穗結實三、四百顆，味澀而微甘。將果實切開夾入石灰、荖花可食之。"
"繽","ㄅㄧㄣ","→繽紛"
"繽紛","ㄅㄧㄣ　ㄈㄣ","雜亂而繁盛的樣子。[例]五彩繽紛、落英繽紛"
"瀕","ㄅㄧㄣ","1.水邊。[例]河瀕、江瀕
2.臨近、迫近。[例]瀕臨、瀕危"
"瀕臨","ㄅㄧㄣ　ㄌㄧㄣˊ","臨近、迫近。[例]老虎和犀牛都是瀕臨絕種的動物，我們要好好予以保護。"
"擯","ㄅㄧㄣˋ","遺棄、排斥。[例]擯除、擯棄"
"擯棄","ㄅㄧㄣˋ　ㄑㄧˋ","排斥、棄除。[例]趁早擯棄這種惡習，以免以後後悔。"
"殯","ㄅㄧㄣˋ","稱已入殮而仍停著未葬的靈柩。[例]殯殮、殯儀、出殯"
"殯葬","ㄅㄧㄣˋ　ㄗㄤˋ","出殯和埋葬。[例]殯葬禮儀往往會因為各地風俗民情不同而有所差異。"
"殯儀館","ㄅㄧㄣˋ　ㄧˊ　ㄍㄨㄢˇ","專門提供喪家辦理殯殮、祭奠及埋葬等事宜的場所。[例]在殯儀館瞻仰朋友的遺容，不禁悲從中來。"
"臏","ㄅㄧㄣˋ","1.膝蓋骨。　△臏骨　◎
2.古時削去膝蓋骨的刑罰。[例]戰國時代，孫臏就是受過臏刑，所以以「臏」為號。"
"鬢","ㄅㄧㄣˋ","兩頰邊靠近耳朵前面的頭髮。[例]鬢腳、雲鬢"
"鬢腳","ㄅㄧㄣˋ　ㄐㄧㄠˇ","兩頰邊靠近耳朵有頭髮生長的部位。[例]當年翩翩少年如今鬢腳已斑白，真是歲月不饒人呀！　△鬢角　◎"
"并","ㄅㄧㄥ","→并州"
"并州","ㄅㄧㄥ　ㄓㄡ","北朝至唐以今山西省太原、大同一帶為并州。相傳此地所產剪刀十分鋒利，以「并州剪刀」聞名於世。古典詩詞多見引用。"
"屏","ㄅㄧㄥ","→屏營"
"屏營","ㄅㄧㄥ　ㄧㄥˊ","徬徨失措的樣子。[例]夙夜屏營"
"冰","ㄅㄧㄥ","1.水在攝氏零度或零度以下所凝結成的固體。[例]冰塊、冰河、冰雪
2.利用冰塊或冰箱使物體防腐或減低溫度。[例]把這瓶鮮奶冰起來吧！
3.比喻不重視或冷淡對待。[例]他可是被冰了許多年，最近才受重用。
4.寒冷。[例]冰涼、冷冰冰、冰天雪地
5.純潔、清明潔淨。[例]冰心、冰雪聰明、冰清玉潔
6.白嫩如冰的。[例]冰膚、冰肌玉骨"
"冰雹","ㄅㄧㄥ　ㄅㄠˊ","自對流雲層中落下的球狀或不規則冰塊，小若黃豆，大如棒球。多發生於晚春或初夏，常伴隨雷雨而下。強烈的雹暴，往往對農作物、人、建築物等造成傷害。[例]氣象署解釋今天南部地區的冰雹現象，是旺盛的對流所生成的。"
"冰棒","ㄅㄧㄥ　ㄅㄤˋ","在模型中倒入果汁、糖水、紅豆湯或牛奶等，並插入竹條或木條，置於冷凍箱中，凍結而成的棒狀冰品。[例]炎炎夏日裡，吃一枝冰棒，真是清涼消暑。　△冰棍"
"冰帽","ㄅㄧㄥ　ㄇㄠˋ","發展於高緯度高原地帶的冰河，範圍小於大陸冰河。因其形狀如帽覆，故稱為「冰帽」。如格陵蘭島及冰島陸上的冰河。　△冰冠、冰原、高原冰河"
"冰封","ㄅㄧㄥ　ㄈㄥ","1.被冰雪覆蓋。[例]聖母峰高聳雲霄，終年冰封。
2.比喻不受重視。[例]由於工作態度不好，所以他近來所提的企劃案多半都被冰封起來。"
"冰袋","ㄅㄧㄥ　ㄉㄞˋ","裝冰塊用的橡膠袋，當病人身上發熱時，可用來降低溫度。[例]小弟發燒到三十九度，醫生說可以讓他枕著冰袋睡。"
"冰刀","ㄅㄧㄥ　ㄉㄠ","安裝在冰鞋下面的刀形鋼條，有球刀、跑刀和花樣刀三種。"
"冰雕","ㄅㄧㄥ　ㄉㄧㄠ","用冰塊雕刻成各種物體形象的作品。[例]這座仿老鷹飛翔樣子刻的冰雕，栩栩如生，造型十分精美。"
"冰點","ㄅㄧㄥ　ㄉㄧㄢˇ","1.水的凝固點。即水在一大氣壓之下，凝固為冰的溫度，一般為攝氏零度。
2.比喻事情發展的最低潮。[例]自從上次吵架後，他們倆的感情已降到冰點。"
"冰凍","ㄅㄧㄥ　ㄉㄨㄥˋ","1.液體凝結成固體稱為「冰凍」。[例]自製冰品很簡單，只要把調好的糖水加以冰凍就可以了。
2.比喻不受重視。[例]由於經濟不景氣，使得許多新產品企劃案都被冰凍起來。"
"冰凍三尺，非一日之寒","ㄅㄧㄥ　ㄉㄨㄥˋ　ㄙㄢ　ㄔˇ　ㄈㄟ　ㄧ　ㄖˋ　ㄓ　ㄏㄢˊ　","結成三尺厚的冰層，絕非一天的寒冷所能造成的。語出漢．王充《論衡．狀留》。後比喻事況的造成並非突然，而是經過日積月累，逐漸形成的。[例]所謂「冰凍三尺，非一日之寒」，今日他們的決裂，絕不是一天兩天所造成的。"
"冰糖","ㄅㄧㄥ　ㄊㄤˊ","用精糖濃液熬製成的白色半透明結晶糖，味道甜美。[例]冰糖燕窩"
"冰天雪地","ㄅㄧㄥ　ㄊㄧㄢ　ㄒㄩㄝˇ　ㄉㄧˋ","形容冰雪覆蓋大地的嚴寒景象。[例]北極地區，整年都是冰天雪地，一片白茫茫的。"
"冰冷","ㄅㄧㄥ　ㄌㄥˇ","1.天氣寒冷或物體冰涼。[例]你的手怎麼這麼冰冷呢？
2.態度冷漠、不熱情。[例]他對我不理不睬，態度相當冰冷。"
"冰涼","ㄅㄧㄥ　ㄌㄧㄤˊ","寒冷、溫度極低。[例]天氣酷熱，來一杯冰涼解渴的飲料吧！"
"冰塊","ㄅㄧㄥ　ㄎㄨㄞˋ","水在攝氏零度或零度以下的低溫所凝結成的半透明塊狀固體。[例]天氣熱的時候，在飲料中加點冰塊，喝起來更覺清涼。"
"冰河","ㄅㄧㄥ　ㄏㄜˊ","在高山或兩極地區，積雪終年不化，雪層變厚，由其本身的壓力而變成冰塊，又因重力作用而沿著山坡移動，滑入溝澗，便形成冰河。[例]科學家指出因為地球溫度逐年升高，極地的冰河溶解，移動速度也逐年加快。　△冰川"
"冰肌玉骨","ㄅㄧㄥ　ㄐㄧ　ㄩˋ　ㄍㄨˇ","1.形容肌膚潔白晶瑩。[例]那幅畫中的女子清秀可人、冰肌玉骨，宛如仙女下凡。
2.形容花朵秀雅耐寒。[例]水仙冰肌玉骨，牡丹國色天香。"
"冰窖","ㄅㄧㄥ　ㄐㄧㄠˋ","藏冰的地窖。"
"冰淇淋","ㄅㄧㄥ　ㄑㄧˊ　ㄌㄧㄣˊ","以乳脂肪加入砂糖、香料、雞蛋、玉米粉等，經攪拌和冷凍而成的半固體冷凍甜食。§英ice cream [例]冰淇淋是高甜度、高熱量的食品，不宜多吃。　△冰激凌"
"冰清玉潔","ㄅㄧㄥ　ㄑㄧㄥ　ㄩˋ　ㄐㄧㄝˊ","像冰那樣清淨，像玉那樣純潔。比喻人的品行高潔。[例]保有冰清玉潔的品格，來去分明，而不隨波逐流，這是讀書人所應具有的操守。"
"冰鞋","ㄅㄧㄥ　ㄒㄧㄝˊ","溜冰時穿的特製鞋。鞋底有冰刀。[例]她拎著一雙冰鞋，要到溜冰場溜冰。　△溜冰鞋"
"冰消瓦解","ㄅㄧㄥ　ㄒㄧㄠ　ㄨㄚˇ　ㄐㄧㄝˇ","像冰的消融，瓦片的碎裂。[例]那個販毒組織在警方鍥而不捨的追緝下，終於冰消瓦解了。"
"冰箱","ㄅㄧㄥ　ㄒㄧㄤ","→電冰箱"
"冰雪聰明","ㄅㄧㄥ　ㄒㄩㄝˇ　ㄘㄨㄥ　ㄇㄧㄥˊ","比喻非常聰明、機靈。[例]那孩子冰雪聰明，讀書能觸類旁通、舉一反三。"
"冰釋","ㄅㄧㄥ　ㄕˋ","比喻嫌隙、懷疑、誤會等完全消失。[例]經過第三者的協調，他們之間的誤會已經冰釋，又和好如常了。"
"冰山","ㄅㄧㄥ　ㄕㄢ","1.冰雪終年不融化的大山。[例]這座高山終年積雪不化，當地人稱它作「冰山」。
2.浮在海中的巨大冰塊，為兩極冰河末端斷裂，滑落海中所形成。[例]在海面漂動的冰山雖只露出水面一角，實際上它在水面下的體積往往十分龐大。
3.比喻不可久靠的勢力。[例]冰山失勢、冰山難恃
4.比喻冷淡缺乏熱情的人。[例]她就像座冰山一樣，誰敢親近？"
"冰山一角","ㄅㄧㄥ　ㄕㄢ　ㄧ　ㄐㄧㄠˇ　","體積龐大的冰山，露於水面上時往往只有山巔部分。比喻事情真相初現的一部分。[例]這事只露出冰山一角，要繼續注意往後的發展。"
"冰水","ㄅㄧㄥ　ㄕㄨㄟˇ","低於常溫略感冰冷的水。[例]激烈運動後，馬上喝冰水，對身體是不好的。"
"冰人","ㄅㄧㄥ　ㄖㄣˊ","比喻媒人。典出《晉書．卷九十五．藝術傳．索紞（ㄉㄢˇ）傳》。[例]月下冰人、冰人月老"
"兵","ㄅㄧㄥ","1.武器。[例]兵器、秣馬厲兵、短兵相接
2.戰士、軍隊。[例]調兵遣將、按兵不動
3.戰爭。[例]兵連禍結、兵荒馬亂
4.有關軍事或戰爭的事。[例]紙上談兵、談笑用兵、兵不厭詐
5.專指軍隊中的基層成員。[例]炮兵、步兵、傳令兵
6.姓。"
"兵變","ㄅㄧㄥ　ㄅㄧㄢˋ","1.軍隊不聽指揮的叛變行動。[例]陳橋兵變
	
2.在當兵期間，交往對象變心，移情別戀，戲稱為「兵變」。[例]兵變讓那位士兵意志消沉了好一段時間。
"
"兵不血刃","ㄅㄧㄥ　ㄅㄨˋ　ㄒㄧㄝˇ　ㄖㄣˋ","比喻尚未交戰，就已征服敵人，獲得勝利。語出《荀子．議兵》。[例]義師打著討伐暴君的旗幟，所到之處皆兵不血刃，大獲勝利。"
"兵不厭詐","ㄅㄧㄥ　ㄅㄨˋ　ㄧㄢˋ　ㄓㄚˋ　","形容用兵時為了制勝敵人，不排斥運用各種詐術來達成目的。語本《韓非子．難一》。[例]俗話說兵不厭詐，可要提防對方另有陰謀！"
"兵法","ㄅㄧㄥ　ㄈㄚˇ","練兵、用兵、作戰等的方法或策略。[例]孫子兵法"
"兵符","ㄅㄧㄥ　ㄈㄨˊ","古代掌管軍隊或用兵的符信。[例]戰國時候，魏國信陵君曾偷魏王的兵符，調動軍隊去救趙國的危難。　◎"
"兵團","ㄅㄧㄥ　ㄊㄨㄢˊ","部隊、軍隊。[例]魔鬼兵團、外籍兵團"
"兵來將擋，水來土掩","ㄅㄧㄥ　ㄌㄞˊ　ㄐㄧㄤˋ　ㄉㄤˇ　ㄕㄨㄟˇ　ㄌㄞˊ　ㄊㄨˇ　ㄧㄢˇ","(諺語)不管遇到任何事情，按情況採取對應措施。[例]大家先不要慌，兵來將擋，水來土掩，看對方如何出招，再思對策應付。"
"兵力","ㄅㄧㄥ　ㄌㄧˋ","軍隊的實力，包括人員、武器裝備、後勤補給等。[例]一場戰爭下來，使得這個國家的兵力大損。"
"兵連禍結","ㄅㄧㄥ　ㄌㄧㄢˊ　ㄏㄨㄛˋ　ㄐㄧㄝˊ","接連用兵，戰禍不絕。[例]今天仍有許多國家內戰難息，兵連禍結，害苦了百姓。"
"兵荒馬亂","ㄅㄧㄥ　ㄏㄨㄤ　ㄇㄚˇ　ㄌㄨㄢˋ","形容戰爭所造成的混亂景象。[例]生長在兵荒馬亂的時代中，能夠接受完整教育的人並不多。"
"兵家","ㄅㄧㄥ　ㄐㄧㄚ","1.古代指精通兵法的軍事家。[例]論起古代的兵家，以孫子最為有名。
2.帶兵、用兵的人。[例]陣前換將，是兵家大忌。"
"兵器","ㄅㄧㄥ　ㄑㄧˋ","武器。[例]弓箭在古代是一種兵器。"
"兵種","ㄅㄧㄥ　ㄓㄨㄥˇ","軍隊內部按其編制、特性、火力等的分類。如陸軍內的炮兵、步兵、裝甲兵、野戰部隊等。[例]服役的兵種也許不同，要求的嚴格卻是一致。"
"兵役","ㄅㄧㄥ　ㄧˋ","國民依照法規對國家服一定期限的軍事義務。"
"丙","ㄅㄧㄥˇ","1.天干的第三位。
2.用來排列次序等第的字。表示第三。[例]丙班、丙等"
"丙烷","ㄅㄧㄥˇ　ㄨㄢˊ","為無色無臭、可燃的氣體。可溶於酒精、乙醚和水，存於天然氣及石油熱解氣體中，為家庭用液化瓦斯的主要成分。可做冷凍劑、內燃機燃料或有機合成原料。"
"炳","ㄅㄧㄥˇ","1.顯著、光明。[例]彪炳
2.持拿、執握。通「秉」。[例]炳燭夜遊"
"炳煥","ㄅㄧㄥˇ　ㄏㄨㄢˋ","光彩耀眼的樣子。[例]燦爛炳煥"
"柄","ㄅㄧㄥˇ","1.器物上可執握的把手。[例]斧柄、刀柄、傘柄
2.執掌、操持。[例]柄國、柄政
3.言語或行為可被人當作攻擊、要挾的事情，或取笑的話題。[例]把柄、話柄、笑柄
4.根本。[例]治國家不失其柄。
5.權力。[例]權柄
6.植物花葉和枝莖相連的部分。[例]花柄、葉柄
7.量詞。計算有柄器物的單位。[例]一柄鋤頭、兩柄大刀"
"秉","ㄅㄧㄥˇ","1.用手執握。[例]秉燭、秉筆直書
2.主持、掌握。[例]秉政、秉國、秉公處理
3.古代計算容量的單位。一秉等於十六斛。"
"秉公","ㄅㄧㄥˇ　ㄍㄨㄥ","按照公正、公平的標準。[例]政府對於人民的陳情案，一向秉公處理。"
"秉性","ㄅㄧㄥˇ　ㄒㄧㄥˋ","本性，天賦的性情。[例]這小孩兒秉性善良，能為他人設想，難怪叫人疼愛。"
